,country,date_local,longitude,latitude,rh_average,blh_average,tp_average,e_average,skt_average,sp_average,t2m_average,tcwv_average,ws_average,ndvi_average,elevation,nl,clc,ghaod_average,value
33218,GB,2018-01-01,-1.4780959999999999,53.378622,71.795768737793,671.38623046875,1.1731846825568901e-05,-3.7523288483498604e-05,278.603973388672,97222.015625,278.217987060547,8.95206546783447,4.8469705581664995,0.17819999158382396,98.09705,255,1,0.14300000667572002,5.0
33543,GB,2018-01-01,-1.395778,50.90814,80.37725830078121,743.158813476562,0.0007121445960365,-4.8777888878248605e-05,279.999389648438,98962.734375,280.087677001953,12.094127655029302,4.50274991989136,0.0974999964237213,18.37283,255,1,0.100550003349781,5.8
34106,GB,2018-01-01,-1.780888,50.735454,75.52491760253909,916.206298828125,0.0009821051498875,-6.67948697810061e-05,281.578125,99301.6484375,280.679412841797,11.717508316039998,5.68856954574585,0.245699986815453,7.913195,255,1,0.10311499983072302,10.8
34426,GB,2018-01-01,0.43954799999999994,51.518167,87.2322845458984,556.90380859375,0.0001587225851835,-3.3472468203399296e-05,279.72039794921903,99006.984375,279.956878662109,12.5895099639893,3.34548592567444,0.219200000166893,16.75708,255,1,0.10909300297498699,2.8
34743,GB,2018-01-01,-1.438228,51.149617,78.5981750488281,647.7198486328119,0.0003752873453777,-4.30314503319096e-05,279.229705810547,98421.984375,279.56951904296903,11.4279470443726,4.19378328323364,0.29179999232292203,77.94941,101,2,0.060589998960495,2.8
35043,GB,2018-01-01,-1.358547,54.516667000000005,80.5857925415039,871.727905273438,1.44672403621371e-05,-3.70044908777345e-05,279.126831054688,97933.109375,279.490600585938,9.22046184539795,4.4789662361145,0.26759999990463296,21.682010000000002,255,1,0.0722670033574104,6.6
35363,GB,2018-01-01,-1.3159,54.565819,80.4112167358398,871.0082397460941,9.80270488071255e-06,-3.82082653231919e-05,279.295623779297,98069.4296875,279.597290039062,9.26542568206787,4.57161235809326,0.16799999773502303,19.42376,255,1,0.0687670037150383,3.0
35689,GB,2018-01-01,-2.175133,53.028209999999994,73.0615615844727,613.4989013671881,3.19586297337082e-06,-4.07818151870742e-05,278.46923828125,97748.1484375,278.431060791016,9.36968421936035,4.66714191436768,0.130599990487099,173.9492,255,1,0.0360000021755695,2.8
36001,GB,2018-01-01,-1.406878,54.88361,77.16734313964841,814.279174804688,8.23511345515726e-06,-4.2238818423356895e-05,279.090209960938,98401.5546875,279.73834228515597,9.12344264984131,4.17827892303467,0.13329999148845698,56.943430000000006,255,2,0.0692249983549118,2.8
36323,GB,2018-01-01,-3.947374,51.632696,75.4472274780273,1061.82189941406,0.0003367540775798,-8.96183410077356e-05,280.10009765625,98471.2578125,280.298919677734,9.55437183380127,7.7398362159729,0.170199990272522,40.871990000000004,255,1,0.122000008821487,8.6
36617,GB,2018-01-01,-2.615358,53.38928000000001,77.2404479980469,708.8469848632809,2.64058726315852e-05,-4.4401160266716e-05,278.70306396484403,98474.3671875,279.423065185547,9.77780532836914,4.744677543640139,0.22360000014305104,14.89149,255,1,0.0899399966001511,8.0
36911,GB,2018-01-01,-1.8750240000000002,52.47609,76.52476501464841,636.914123535156,7.6303091191221e-05,-5.4356027249014e-05,278.923980712891,98224.3359375,278.988861083984,10.0768127441406,4.63501739501953,0.111400000751019,121.6706,255,1,0.0302099995315075,4.8
37231,GB,2018-01-01,-2.638139,53.54914,79.0460586547852,769.5125122070309,5.64380643481854e-05,-5.16384461661801e-05,278.832183837891,98470.984375,279.606781005859,9.92097568511963,5.35435676574707,0.188199996948242,44.939240000000005,255,1,0.083686999976635,6.0
37540,GB,2018-01-01,-1.086514,53.967513000000004,80.3792037963867,772.273071289062,7.00807868270203e-06,-3.29118374793325e-05,279.376342773438,98598.6796875,279.306243896484,9.692155838012699,4.47327470779419,0.158299997448921,18.910339999999998,255,1,0.0750119984149933,5.2
37867,GB,2018-01-01,-1.075861,53.951889,80.1009216308594,762.6670532226559,6.40897997072898e-06,-3.28106943925377e-05,279.394287109375,98641.8046875,279.30255126953097,9.71320056915283,4.46073389053345,0.15339998900890398,23.95211,255,1,0.0722469985485077,6.6
74030,DE,2018-01-01,11.564924000000001,48.137252000000004,81.651969909668,1308.78625488281,1.0275984507757098e-08,-6.71510060783476e-05,279.36572265625,94519.1171875,279.576293945312,7.528015613555911,4.68093204498291,0.0526000000536442,529.8177,255,1,0.04094799980521201,13.965
74124,DE,2018-01-01,9.171544,49.869422,78.5826187133789,1166.07958984375,8.39786007418297e-05,-9.72154666669667e-05,279.588409423828,97246.546875,279.991912841797,9.180253982543949,5.66608095169067,0.25560000538826,128.0901,231,1,0.0736699998378754,6.4675
74215,DE,2018-01-01,10.306561,47.72514,77.8763427734375,1210.61962890625,2.6051172881125197e-06,-6.5602500399109e-05,276.482818603516,90475.5,277.01422119140597,5.7593698501586905,4.07187747955322,0.123099997639656,685.7571,255,1,0.0382849983870983,10.125
74380,DE,2018-01-01,10.008293,48.397079,81.21942138671879,1134.44226074219,1.56582188992616e-06,-6.681038939859721e-05,278.986663818359,94457.5,279.209747314453,7.1979193687439,5.74526453018188,0.186299994587898,475.2823,255,1,0.0470000021159649,5.7625
74472,DE,2018-01-01,10.572297,49.304889,71.1452865600586,1137.70886230469,1.87826735782437e-05,-4.9397047405364e-05,279.873626708984,95747.5,279.832885742188,7.713858127593991,5.50252771377563,0.266200006008148,410.3205,255,1,0.0625607445836067,5.68
74564,DE,2018-01-01,11.648036,48.173194,82.2995147705078,1300.33312988281,1.66622253772175e-08,-6.556382140843199e-05,279.590667724609,94694.296875,279.681274414062,7.63857793807983,4.72927713394165,0.19929999113082897,513.5176,255,1,0.0459159985184669,6.775
74649,DE,2018-01-01,11.428766,48.769444,89.30992889404301,1226.39282226562,9.72671841736883e-06,-4.29680221714079e-05,280.31610107421903,95880.9453125,280.17840576171903,8.079798698425291,5.171413898468019,0.13869999349117298,373.6528,255,1,0.0781759992241859,18.7325
74742,DE,2018-01-01,11.536513000000001,48.149606,82.2049942016602,1308.02905273438,1.1941243549529198e-08,-6.70792287564836e-05,279.35565185546903,94542.1796875,279.574676513672,7.53480434417725,4.7476296424865705,0.0763999968767166,528.5207,255,1,0.0421379990875721,15.645
74835,DE,2018-01-01,9.95642,49.804695,72.817138671875,1163.06311035156,2.4743661924731e-05,-6.90634988131933e-05,279.86614990234403,97147.53125,280.252716064453,8.55431270599365,5.61836719512939,0.153099998831749,199.2589,255,1,0.0547350011765957,5.3825
74920,DE,2018-01-01,11.554669,48.154534000000005,82.4128723144531,1306.1455078125,1.35476403428925e-08,-6.67254280415364e-05,279.40667724609403,94584.3515625,279.598754882812,7.55969905853271,4.76472043991089,0.0751999989151955,529.0054,255,1,0.0426150001585484,17.335
75045,DE,2018-01-01,10.325,49.44406,69.33184814453121,1136.23388671875,1.99672758753877e-05,-5.66649687243626e-05,279.83770751953097,96101.203125,279.880126953125,7.8762311935424805,5.66107177734375,0.25380000472068803,372.0769,131,2,0.0561807416379452,3.5525
75138,DE,2018-01-01,12.128139,49.321954999999996,82.3377151489258,1087.51843261719,8.547338075004521e-05,-6.1770660977345e-05,279.187866210938,95757.7734375,279.649047851562,8.45061588287354,4.49686622619629,0.271600008010864,416.2505,255,1,0.0968130007386208,9.57
75230,DE,2018-01-01,10.959311999999999,50.260578,77.53082275390621,1085.96618652344,0.00015307110152200002,-8.27987532829866e-05,278.286651611328,95995.5703125,278.69708251953097,8.30376815795898,5.17502021789551,0.134299993515015,296.5241,255,1,0.0738750025629997,7.015
75324,DE,2018-01-01,11.0248,49.462229,73.6116256713867,1125.39855957031,6.78914293530397e-05,-6.823337753303349e-05,279.768188476562,96166.796875,279.952850341797,8.02750205993652,5.1664323806762695,0.193800002336502,296.9381,255,1,0.0953850001096725,10.455
75416,DE,2018-01-01,12.18865,50.058195,79.12135314941409,1079.90979003906,6.62819220451638e-05,-5.60652661079075e-05,277.911224365234,94199.34375,278.007171630859,7.58926725387573,5.23511695861816,0.269600003957748,475.4062,252,1,0.0598130002617836,11.155
75509,DE,2018-01-01,10.887686,49.89833,74.1283416748047,1125.61169433594,0.0001421848864993,-9.18779842322692e-05,279.557159423828,96730.7421875,279.81182861328097,8.42010021209717,5.06003665924072,0.111099995672703,244.7601,255,1,0.0689250007271767,5.3825
75611,DE,2018-01-01,12.159361,49.67895,80.5602035522461,1051.59814453125,8.78171704243869e-05,-5.9531645092647496e-05,278.421020507812,94813.53125,278.668304443359,7.979558944702151,4.91021919250488,0.243599995970726,412.9568,255,1,0.0376730002462864,6.6025
75699,DE,2018-01-01,11.879245,48.909518,88.5034637451172,1184.74426269531,2.7560103262658197e-05,-4.5805802074028206e-05,280.077667236328,95961.5078125,280.099212646484,8.305100440979,5.03896141052246,0.151399999856949,347.0076,255,1,0.0875329971313477,7.08
75784,DE,2018-01-01,13.422039000000002,48.573629,88.72174072265621,1124.73229980469,4.40486546722241e-05,-7.18825394869782e-05,279.406707763672,95430.890625,279.549530029297,9.06497097015381,4.25008964538574,0.10740000009536699,308.793,255,1,0.0873750001192093,2.29666666666667
75876,DE,2018-01-01,9.688869,47.557473,70.5915603637695,1001.90655517578,7.3694823186087905e-06,-8.0476027505938e-05,278.24285888671903,93068.0,279.10296630859403,6.35509395599365,2.55753946304321,0.337399989366531,425.5692,244,1,0.0553300008177757,12.3
75970,DE,2018-01-01,12.538174,48.021657,68.0783233642578,1034.53527832031,5.570304892899e-07,-6.33842064416967e-05,279.19744873046903,94566.3671875,279.590454101562,7.8269548416137695,2.7771558761596697,0.215199992060661,492.3767,241,1,0.0473270006477833,4.83
76064,DE,2018-01-01,10.903051,48.326013,85.7262191772461,1238.62048339844,1.0623908508478099e-07,-5.87293143325951e-05,279.707183837891,94824.3984375,279.568817138672,7.5130181312561,5.806396007537839,0.21319998800754503,497.9062,255,1,0.031012000516057004,3.5175
76157,DE,2018-01-01,12.781386999999999,48.182835,73.3310317993164,1121.58288574219,7.00810858234036e-07,-6.57573400530964e-05,280.095794677734,95548.8671875,280.173492431641,8.34499835968018,3.62405872344971,0.295899987220764,418.0988,197,2,0.049710001796484,13.425
76243,DE,2018-01-01,12.548869,49.438464,84.53623962402341,1053.50231933594,0.0001257876865565,-7.08680163370445e-05,278.488128662109,94819.6953125,278.800537109375,8.33142471313477,4.889764308929441,0.24669998884201003,727.3809,77,3,0.104235000908375,3.1325
76332,DE,2018-01-01,11.777818,48.853211,89.22357177734379,1202.61706542969,1.67206508194795e-05,-4.32655688200612e-05,280.236175537109,96031.5234375,280.185577392578,8.27086925506592,5.09533643722534,0.293199986219406,357.1587,126,2,0.0806370005011559,10.985
76424,DE,2018-01-01,10.88837,48.376576,85.7887191772461,1235.25769042969,2.1905653113663e-07,-5.63390130992047e-05,279.838470458984,94968.2265625,279.662628173828,7.55812215805054,5.7881588935852095,0.0988999977707863,479.5307,255,1,0.0234600007534027,8.8425
76520,DE,2018-01-01,9.117973,49.991518,79.4649124145508,1168.15356445312,7.88768811617047e-05,-9.569324902258809e-05,279.740112304688,97661.125,280.215179443359,9.40943717956543,5.75644779205322,0.258799999952316,125.5748,255,1,0.0721549987792969,6.42
76611,DE,2018-01-01,12.188324,47.648459,66.66177368164061,456.84078979492205,7.79123001848347e-06,-2.45711398747517e-05,275.78143310546903,89644.65625,276.437133789062,6.26354265213013,1.10429990291595,0.348600000143051,469.6973,253,2,0.054577998816967004,25.635
